task,model,n_train,n_test,sampling,prompting,classifier,hparams_json,confidence_lower,mean_score,confidence_upper,n_successful_parses,usd_per_answer
FishNet,RN50/openai,10,100,uniform,,,{},0.40476190476190477,0.4318181818181818,0.45806404230317266,,
FishNet,RN50/openai,3,100,uniform,,,{},0.5282973356842002,0.5984773720569576,0.6666178037117697,,
FishNet,ViT-B-16-SigLIP/webli,10,100,uniform,,,{},0.41014952667814114,0.5013416815742398,0.6106573117935414,,
FishNet,ViT-B-16/laion400m_e32,10,100,uniform,,,{},0.4202009678720258,0.4685052774940416,0.534452048752077,,
FishNet,ViT-B-16/openai,10,100,uniform,,,{},0.4226025776840575,0.5109685430463576,0.60616032463167,,
FishNet,ViT-B-16/openai,3,100,uniform,,,{},0.39759036144578314,0.42857142857142855,0.45652173913043476,,
FishNet,hf-hub:imageomics/bioclip,10,100,uniform,,,{},0.38079109062980027,0.4125,0.44478163134232496,,
FishNet,openrouter/google/gemini-flash-1.5-8b,0,100,uniform,single-turn,,"{""temp"": 0.0}",0.03591867469879518,0.0898876404494382,0.13978494623655913,,
FishNet,openrouter/google/gemini-flash-1.5-8b,1,100,uniform,single-turn,,"{""temp"": 0.0}",0.1287712765957447,0.19047619047619047,0.24569209039548023,,
FishNet,openrouter/google/gemini-flash-1.5-8b,10,100,uniform,single-turn,,"{""temp"": 0.0}",0.516470147332898,0.6080074487895717,0.699169110459433,,
FishNet,openrouter/google/gemini-flash-1.5-8b,100,100,uniform,single-turn,,"{""temp"": 0.0}",0.2788696149447198,0.32608695652173914,0.37211980548187445,,
FishNet,openrouter/google/gemini-flash-1.5-8b,3,100,uniform,single-turn,,"{""temp"": 0.0}",0.5317405622623891,0.6268814924740301,0.706757137537864,,
FishNet,openrouter/google/gemini-flash-1.5-8b,30,100,uniform,single-turn,,"{""temp"": 0.0}",0.0,0.034482758620689655,0.07608695652173914,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,0,100,uniform,single-turn,,"{""temp"": 0.0}",0.0,0.012345679012345678,0.038723776223776214,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,1,100,uniform,single-turn,,"{""temp"": 0.0}",0.340273556231003,0.38064516129032255,0.41900673400673394,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,10,100,uniform,single-turn,,"{""temp"": 0.0}",0.3127266221374046,0.380102730467694,0.4741570665493079,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,100,100,uniform,single-turn,,"{""temp"": 0.0}",0.05523504273504273,0.1134020618556701,0.16261904761904758,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,3,100,uniform,single-turn,,"{""temp"": 0.0}",0.3924050632911392,0.42168674698795183,0.4504552023121387,,
FishNet,openrouter/meta-llama/llama-3.2-3b-instruct,30,100,uniform,single-turn,,"{""temp"": 0.0}",0.2890658522470641,0.3815015829941203,0.47719156020833875,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,0,100,uniform,single-turn,,"{""temp"": 0.0}",0.47121115991696777,0.5511853448275862,0.6273978875006272,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,1,100,uniform,single-turn,,"{""temp"": 0.0}",0.41681966544267646,0.4444444444444444,0.46808510638297873,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,10,100,uniform,single-turn,,"{""temp"": 0.0}",0.4048312883435583,0.4865616311399444,0.5850179706741508,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,100,100,uniform,single-turn,,"{""temp"": 0.0}",0.43816153819528575,0.5013522650439486,0.5703640084083946,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,3,100,uniform,single-turn,,"{""temp"": 0.0}",0.4186046511627907,0.4444444444444444,0.46524064171123,,
FishNet,openrouter/qwen/qwen-2-vl-7b-instruct,30,100,uniform,single-turn,,"{""temp"": 0.0}",0.42056213017751476,0.49249492900608516,0.5894111770639354,,
